stribID,NameInRealtorsData,GEOID,FullName,CityName,ZillowName,COUNTY,STATE,subdiv_geoid,subdiv_full_name,multiplecounties,location,County13,type,neighborhoodname
235,Como Park,,Como (St. Paul),St. Paul,,Ramsey,MN,,,,neighborhood,x,neighborhood,Como
236,Cooper,,Cooper (Minneapolis),Minneapolis,,Hennepin,MN,,,,neighborhood,x,neighborhood,Cooper
237,Corcoran Neighborhood,,Corcoran (Minneapolis),Minneapolis,,Hennepin,MN,,,,neighborhood,x,neighborhood,Corcoran
238,Dayton's Bluff,,Dayton's Bluff (St. Paul),St. Paul,,Ramsey,MN,,,,neighborhood,x,neighborhood,Dayton's Bluff
239,Diamond Lake,,Diamond Lake (Minneapolis),Minneapolis,,Hennepin,MN,,,,neighborhood,x,neighborhood,Diamond Lake
240,Downtown,,Downtown (St. Paul),St. Paul,,Ramsey,MN,,,,neighborhood,x,neighborhood,Downtown
241,Downtown East,,Downtown East (Minneapolis),Minneapolis,,Hennepin,MN,,,,neighborhood,x,neighborhood,Downtown East
242,Downtown West,,Downtown West (Minneapolis),Minneapolis,,Hennepin,MN,,,,neighborhood,x,neighborhood,Downtown West
243,East Calhoun (ECCO),,East Calhoun (ECCO) (Minneapolis),Minneapolis,,Hennepin,MN,,,,neighborhood,x,neighborhood,East Calhoun (ECCO)
244,East Harriet,,East Harriet (Minneapolis),Minneapolis,,Hennepin,MN,,,,neighborhood,x,neighborhood,East Harriet
245,East Isles,,East Isles (Minneapolis),Minneapolis,,Hennepin,MN,,,,neighborhood,x,neighborhood,East Isles
246,East Phillips,,East Phillips (Minneapolis),Minneapolis,,Hennepin,MN,,,,neighborhood,x,neighborhood,East Phillips
